Title,Accession,Organism,Summary,Overall_design,PubmedID,Journal
PML2-mediated thread-like nuclear bodies mark late senescence in HutchinsonâGilford progeria syndrome,GSE137085,Homo sapiens,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,32351002,Aging Cell
TATTOO-seq delineates spatial and cell type-specific regulatory programs in the developing limb,GSE202326,Mus musculus,The coordinated differentiation of progenitor cells into specialized cell types and their spatial organization into distinct domains is central to embryogenesis. Here， we applied a new unbiased spatially resolved single-cell transcriptomics method to identify the genetic programs underlying the emergence of specialized cell types during limb development and their spatial integration. We identify multiple transcription factors whose expression patterns are predominantly associated with cell type specification or spatial position， suggesting two parallel yet highly interconnected regulatory systems. We demonstrate that the embryonic limb undergoes a complex multi-scale re-organization upon perturbation of one of its spatial organizing centers， including the loss of specific cell populations， specific alterations of pre-existing cell statesâ molecular identities and changes in their relative spatial distribution. Our study shows how multi-dimensional single-cell， spatially resolved molecular atlases can allow the deconvolution of spatial identity and cell fate and reveal the interconnected genetic networks that regulate organogenesis and its reorganization upon genetic alterations.,Forelimb cells of the KikGR1 and KikGR1;DEL(PolL-SHFM) mice were sorted into 384-well plates by Fluorescence-activated cell sorting (FACS) and analyzed using scRNA-seq (MARS-Seq).,36516250,Sci Adv
High-content CRISPR screens link coronary artery disease genes to endothelial cell programs [Pilot scRNA-seq],GSE212396,Homo sapiens,Genome-wide association studies (GWAS) have discovered thousands of risk loci for common， complex diseases， each of which could point to genes and gene programs that influence disease. For some diseases， it has been observed that GWAS signals converge on a smaller number of biological programs， and that this convergence can help to identify causal genes. However， identifying such convergence remains challenging: each GWAS locus can have 2-20 candidate genes， the cellular programs a gene participates in are difficult to define in an unbiased fashion， and it remains unclear which genes and programs would be likely to influence disease risk. Here， we explored a new approach to address this challenge， by creating an unbiased catalog of gene programs and their regulators in endothelial cells to link variants to functions for coronary artery disease (CAD). To do so， we applied CRISPRi-Perturb-seq to knock down all expressed genes within 500 Kb of all CAD GWAS loci (2，285 genes in total) and measure their effects on the transcriptome using single-cell RNA-seq. We used consensus non-negative matrix factorization to define 60 gene expression programsâincluding core cellular programs， such as ribosome biogenesis， and endothelial cell-specific programs， such as flow response and angiogenesisâand link these programs to upstream regulators including transcription factors， chromatin regulators， metabolic enzymes， and signaling cascades. By combining this gene-to-program catalog with variant-to-gene maps， we find that candidate CAD genes converge onto 6 interrelated gene programs， together involving known and novel genes in 39 of 229 CAD GWAS loci. Analysis of these programs revealed that the cerebral cavernous malformations (CCM) complexâwhose potential connection to CAD has not been previously exploredâacts upstream to regulate other CAD genes involved in cytoskeletal organization， extracellular matrix remodeling， and cell migration. The strongest regulator of these programs is TLNRD1， a highly conserved but poorly studied gene that we show acts in the CCM pathway and regulates actin organization and endothelial cell barrier function. Together， our study nominates new genes that likely influence risk for CAD， identifies convergence of CAD risk loci into certain gene programs in endothelial cells， and demonstrates a generalizable strategy to catalog gene programs to connect disease variants to functions.,"This series contains pilot Perturb-seq studies， which were used to optimize conditions for and cross validate the larger Perturb-seq study reported in GSE210681. Human immortalized endothelial cells engineered to contain doxycycline inducible CRISPR interference machinery (CRISPRi TeloHAEC or CRISPRi Eahy926)， were transduced with one of two guide RNA libraries targeting gene promoters (referred to as the 50gene & 200gene libraries)， in a CROP-seq vector. After 5 days of doxycycline treatment， cells were run on a single lane of a 10X Chromium Controller and scRNA-seq libraries generated. For Eahy926， the maximum number of cells recommended in the 10x protocol was used (16k)， or the lane was ""superloaded"" with ~10x more cells (150k). For TeloHAEC， only the superloading condition was used. polyA+ cDNA surrounding the guide sequences was amplified to make ""dialout"" libraries， used to link guide RNA sequences to scRNAseq cell barcodes.",38326615,Nature
Fragment-sequencing unveils local tissue microenvironments at single cell resolution,GSE216189,Homo sapiens;Mus musculus,The spatial organization of cells within tissues is tightly linked to their biological function. Yet， methods to probe the entire transcriptome of multiple native tissue microenvironments at single cell resolution are lacking. Here， we introduce fragment-sequencing， a method that enables the transcriptomic characterization of single cells within spatially distinct tissue niches. Fragment-sequencing of the mouse metastatic liver revealed previously uncharacterized zonated genes and ligand-receptor interactions enriched in the different hepatic microenvironments and the metastatic niche.,Method development of fragment-sequencing (based on single cell RNA sequencing and cell hashing) and its application to metastatic mouse liver (9 replicates)， untreated mouse liver (1 replicate)， untreated mouse spleen (2 replicates)， Crohn?s disease biopsies (2 replicates) and a mix of human and mouse colorectal cancer organoids (1 replicate). To compare Visium of metastatic mouse livers (2 replicates) and conventional scRNAseq of metastatic mouse livers (2 replicates) were performed.Please note that the records have been updated with two additional samples on Feb 6th， 2023.Human samples were uploaded August 7th， 2023 and raw data were not provided due to patient privacy concerns.,38012149,Nat Commun
High-throughput and high-sensitivity full-length single-cell RNA-seq analysis on third-generation sequencing platform,GSE203561,Homo sapiens;Mus,We developed SCAN-seq2， a high-throughput and highly sensitive single-cell RNA sequencing method based on the TGS platform. Our study demonstrated that SCAN-seq2 improves upon the previous method， SCAN-seq， in terms of sensitivity and throughput. By using reference-guided assembly of single-cell data， we were able to identify thousands of novel full-length RNA isoforms， including cell type-specific expression patterns of pseudogenes. We also accurately determined V(D)J rearrangement events in T and B cells. Lastly， we found that treatment of HepG2 and Hela cells with the spliceosome inhibitor Isoginkgetin (IGG) resulted in a subpopulation of cells with distinct apoptosis features.Our study provides a promising new tool for single-cell transcriptome research. The source code for SCAN-seq2 data analysis pipelines is available athttps://github.com/liuzhenyu-yyy/SCAN-seq2.,Single-cell full-length transcriptome profiling of 6 human cell lines and 3 mouse cell lines.,36631434,Cell Discov
Application of a New Approach Methodology (NAM)-based Strategy for Genotoxicity Assessment of Data-poor Compounds,GSE213454,Homo sapiens,The conventional battery for genotoxicity testing is not well suited to assessing the large number of chemicals needing evaluation. Traditional in vitro tests lack throughput， provide little mechanistic information， and have poor specificity in predicting in vivo genotoxicity. New Approach Methodologies (NAMs) aim to accelerate the pace of hazard assessment and reduce reliance on in vivo tests that are time-consuming and resource-intensive. As such， high-throughput transcriptomic and flow cytometry-based assays have been developed for modernized in vitro genotoxicity assessment. This includes: the TGx-DDI transcriptomic biomarker (i.e.， 64-gene expression signature to identify DNA damage-inducing (DDI) substances)， the MicroFlowÂ® assay (i.e.， a flow cytometry-based micronucleus (MN) test)， and the MultiFlowÂ® assay (i.e.， a multiplexed flow cytometry-based reporter assay that yields mode-of-action (MoA) information). The objective of this study was to investigate the utility of the TGx-DDI transcriptomic biomarker， multiplexed with the MicroFlowÂ® and MultiFlowÂ® assays， as an integrated NAM-based testing strategy for screening data-poor compounds prioritized by Health Canadaâs New Substances Assessment and Control Bureau. Human lymphoblastoid TK6 cells were exposed to 3 control and 10 data-poor substances， using a 6-point concentration range. Gene expression profiling was conducted using the targeted TempO-SeqTM assay， and the TGx-DDI classifier was applied to the dataset. Classifications were compared with those based on the MicroFlowÂ® and MultiFlowÂ® assays. Benchmark Concentration (BMC) modeling was used for potency ranking. The results of the integrated hazard calls indicate that five of the data-poor compounds were genotoxic in vitro， causing DNA damage via a clastogenic MoA， and one via a pan-genotoxic MoA. Two compounds were likely irrelevant positives in the MN test; two are considered possibly genotoxic causing DNA damage via an ambiguous MoA. BMC modeling revealed nearly identical potency rankings for each assay. This ranking was maintained when all endpoint BMCs were converted into a single score using the Toxicological Prioritization (ToxPi) approach. Overall， this study contributes to the establishment of a modernized approach for effective genotoxicity assessment and chemical prioritization for further regulatory scrutiny. We conclude that the integration of TGx-DDI， MicroFlowÂ®， and MultiFlowÂ® endpoints is an effective NAM-based strategy for genotoxicity assessment of data-poor compounds.,A total of 276 samples were sequenced for this toxicogenomics study on 10 data-poor compounds， including technical controls (reference RNA; media only; cells with no treatment). The solvent controls were comprised of 0.1% DMSO. 6 concentrations of each data-poor chemical were tested in duplicate. Three reference chemicals， etoposide， 7，12-dimethylbenz[a]anthracene， and d-mannitol were also included in this study. Six chemicals (NSACB #1，12，13，14，18，D-mannitol) were tested both with and without metabolic activation.,36756349,Front Toxicol
CBFb-SMMHC inhibition triggers apoptosis by disrupting MYC chromatin dynamics in acute myeloid leukemia [ATAC-seq],GSE101790,Homo sapiens,We recently reported the discovery of a small molecule inhibitor， AI-10-49 which can specially inhibit the protein-protein interaction between RUNX1 tumor suppressor and CBFÎ²-SMMHC oncogene. We also demonstrated that AI-10-49 can re-establish the RUNX1 transcriptional program in inv(16) cells and can extend the survival of inv(16) leukemic mice. To identify the changes in chromatin accessibility associated with AI-10-49， we performed ATAC-seq analysis in ME-1 cells [human inv(16) leukemia cell line] treated with AI-10-49.,ME-1 cells were treated with DMSO/ AI-10-49 (1uM) for six hours and cells were tagmented using Tn5 transposase. DNA libraries were sequenced using 100bp paired end reads on an Illumina HiSeqTM 2000. Two independent experiments were conducted for DMSO as well as AI-10-49 treatments.,29958106,Cell
Transcription elongator SPT6L regulates the occupancies of the SWI2/SNF2 chromatin remodelers SYD/BRM and nucleosomes at transcription start sites in Arabidopsis,GSE207391,Arabidopsis thaliana,Chromatin remodelers have been thought to be crucial in creating an accessible chromatin environment before transcription activation. However， it is still unclear how chromatin remodelers recognize and bind to the active regions. In this study， we found that chromatin remodelers SPLAYED (SYD) and BRAHMA (BRM) interact and co-occupy with the Suppressor of Ty6-like (SPT6L)， a core subunit of the transcription machinery， at thousands of the transcription start sites (TSS). The association of SYD and BRM to chromatin is dramatically reduced in spt6l and can be Chromatin remodelers have been thought to be crucial in creating an accessible chromatin environment before transcription activation. However， it is still unclear how chromatin remodelers recognize and bind to the active regions. In this study， we found that chromatin remodelers SPLAYED (SYD) and BRAHMA (BRM) interact and co-occupy with Suppressor of Ty6-like (SPT6L)， a core subunit of the transcription machinery， at thousands of the transcription start sites (TSS). The association of SYD and BRM to chromatin is dramatically reduced in spt6l and can be restored mainly by SPT6LÎtSH2， which binds to TSS in a RNA polymerase II (Pol II)-independent manner. Furthermore， SPT6L and SYD/BRM are involved in regulating the nucleosome and Pol II occupancy around TSS. The presence of SPT6L is sufficient to restore the association of the chromatin remodeler SYD to chromatin and maintain normal nucleosome occupancy. Our findings suggest that the two chromatin remodelers can form protein complexes with the core subunit of the transcription machinery and regulate nucleosome occupancy in the early transcription stage.,Chromatin immunoprecipitation DNA-sequencing (ChIP-seq) for Pol II， SPT6L， SYD， and BRM in Arabidposis.MNase-seq for WT， SPT6L， and SPT6LdetlaSH210-day old seedlings were used for ChIP-seq and Mnase-seq assays.,36453990,Nucleic Acids Res
ONECUT2 regulates RANKL-dependent Enterocyte and Microfold cell differentiation in the small intestine; a multi-omics study [ChIP-Seq],GSE194182,Mus musculus,Microfold (M) cells reside in the intestinal epithelium of Peyerâs patches. Their unique ability to take up and transport antigens from the intestinal lumen to the underlying lymphoid tissue is key in the regulation of the gut-associated immune response. Here， we applied a multi-omics approach to investigate the molecular mechanisms that drive M cell differentiation in mouse small intestinal organoids. We generated a comprehensive profile of chromatin accessibility changes and transcription factor dynamics during in vitro M cell differentiation， allowing us to uncover numerous cell type-specific regulatory elements and associated transcription factors. By using single-cell RNA sequencing， we identified an M cell precursor population. We linked precursor-specific gene expression to transcription factor motif content in cis-regulatory elements with our newly developed computational tool SCEPIA， uncovering a high expression of and motif activity for the transcription factor ONECUT2. Subsequent in vitro and in vivo perturbation experiments revealed that ONECUT2 acts downstream of the RANK/RANKL signalling to support Enterocyte differentiation， thereby restricting M cell lineage specification. This study sheds new light on the mechanism regulating mucosal immunity and cell fate balance， and provides a powerful blueprint for investigation of cell fate switches in the intestinal epithelium.,Bulk ChIP-sequencing (H3K27ac， ONECUT2) analysis of mouse small intestinal organoids treated with RANKL for 6 days， or control organoids grown in conventional organoid culture medium. Replicates correspond to three independent differentiation experiments.,36625255,Nucleic Acids Res
ONECUT2 regulates RANKL-dependent Enterocyte and Microfold cell differentiation in the small intestine; a multi-omics study [scRNA-seq],GSE194178,Mus musculus,Microfold (M) cells reside in the intestinal epithelium of Peyerâs patches. Their unique ability to take up and transport antigens from the intestinal lumen to the underlying lymphoid tissue is key in the regulation of the gut-associated immune response. Here， we applied a multi-omics approach to investigate the molecular mechanisms that drive M cell differentiation in mouse small intestinal organoids. We generated a comprehensive profile of chromatin accessibility changes and transcription factor dynamics during in vitro M cell differentiation， allowing us to uncover numerous cell type-specific regulatory elements and associated transcription factors. By using single-cell RNA sequencing， we identified an M cell precursor population. We linked precursor-specific gene expression to transcription factor motif content in cis-regulatory elements with our newly developed computational tool SCEPIA， uncovering a high expression of and motif activity for the transcription factor ONECUT2. Subsequent in vitro and in vivo perturbation experiments revealed that ONECUT2 acts downstream of the RANK/RANKL signalling to support Enterocyte differentiation， thereby restricting M cell lineage specification. This study sheds new light on the mechanism regulating mucosal immunity and cell fate balance， and provides a powerful blueprint for investigation of cell fate switches in the intestinal epithelium.,scRNA-sequencing analyses of mouse small intestinal organoids treated with RANKL for 9 days (3 x 384-well plates per day) or with RANKL+CSRM617 for 6 days (2 x 384-well plates per day).,36625255,Nucleic Acids Res
The developmental transcriptome and epigenome of Owenia fusiformis reveal the development and evolution of mitraria larvae [dataset2],GSE202283,Owenia fusiformis,Owenia fusiformis has a unique mitraria larvae form which is different to other marine spiralians. we utilize RNA-seq and ATAC-seq to profile the gene expression and chromatin accessibility dynamics to understand their development and evolution.,We collected the fresh competent larvae and juvenile for RNA sequencing. We collected the fresh samples from gastrula， elongation， mitraria larvae to competent larvae to perform the ATAC expriments and profiling the chromatin accessibility.Please note that the 'ofu_RNAseq_gene_expression.txt' contains the processed data for the RNA-seq samples in both GSE184126 and GSE202283.,36697830,Nature
The developmental transcriptome and epigenome of Owenia fusiformis reveal the development and evolution of mitraria larvae [dataset2],GSE202283,Owenia fusiformis,Owenia fusiformis has a unique mitraria larvae form which is different to other marine spiralians. we utilize RNA-seq and ATAC-seq to profile the gene expression and chromatin accessibility dynamics to understand their development and evolution.,We collected the fresh competent larvae and juvenile for RNA sequencing. We collected the fresh samples from gastrula， elongation， mitraria larvae to competent larvae to perform the ATAC expriments and profiling the chromatin accessibility.Please note that the 'ofu_RNAseq_gene_expression.txt' contains the processed data for the RNA-seq samples in both GSE184126 and GSE202283.,36697830,Genome Biol
The developmental transcriptome and epigenome of Owenia fusiformis reveal the development and evolution of mitraria larvae [dataset2],GSE202283,Owenia fusiformis,Owenia fusiformis has a unique mitraria larvae form which is different to other marine spiralians. we utilize RNA-seq and ATAC-seq to profile the gene expression and chromatin accessibility dynamics to understand their development and evolution.,We collected the fresh competent larvae and juvenile for RNA sequencing. We collected the fresh samples from gastrula， elongation， mitraria larvae to competent larvae to perform the ATAC expriments and profiling the chromatin accessibility.Please note that the 'ofu_RNAseq_gene_expression.txt' contains the processed data for the RNA-seq samples in both GSE184126 and GSE202283.,39090757,Nature
The developmental transcriptome and epigenome of Owenia fusiformis reveal the development and evolution of mitraria larvae [dataset2],GSE202283,Owenia fusiformis,Owenia fusiformis has a unique mitraria larvae form which is different to other marine spiralians. we utilize RNA-seq and ATAC-seq to profile the gene expression and chromatin accessibility dynamics to understand their development and evolution.,We collected the fresh competent larvae and juvenile for RNA sequencing. We collected the fresh samples from gastrula， elongation， mitraria larvae to competent larvae to perform the ATAC expriments and profiling the chromatin accessibility.Please note that the 'ofu_RNAseq_gene_expression.txt' contains the processed data for the RNA-seq samples in both GSE184126 and GSE202283.,39090757,Genome Biol
ONECUT2 regulates RANKL-dependent Enterocyte and Microfold cell differentiation in the small intestine; a multi-omics study [bulk RNA-seq],GSE194177,Mus musculus,Microfold (M) cells reside in the intestinal epithelium of Peyerâs patches. Their unique ability to take up and transport antigens from the intestinal lumen to the underlying lymphoid tissue is key in the regulation of the gut-associated immune response. Here， we applied a multi-omics approach to investigate the molecular mechanisms that drive M cell differentiation in mouse small intestinal organoids. We generated a comprehensive profile of chromatin accessibility changes and transcription factor dynamics during in vitro M cell differentiation， allowing us to uncover numerous cell type-specific regulatory elements and associated transcription factors. By using single-cell RNA sequencing， we identified an M cell precursor population. We linked precursor-specific gene expression to transcription factor motif content in cis-regulatory elements with our newly developed computational tool SCEPIA， uncovering a high expression of and motif activity for the transcription factor ONECUT2. Subsequent in vitro and in vivo perturbation experiments revealed that ONECUT2 acts downstream of the RANK/RANKL signalling to support Enterocyte differentiation， thereby restricting M cell lineage specification. This study sheds new light on the mechanism regulating mucosal immunity and cell fate balance， and provides a powerful blueprint for investigation of cell fate switches in the intestinal epithelium.,Bulk RNA-sequencing analyses of mouse small intestinal organoids treated with RANKL for 6 days， alone or in combination with CSRM617， or control organoids grown in conventional organoid culture medium. Replicates correspond to three independent differentiation experiments.,36625255,Nucleic Acids Res
long read RNA-seq from mammary epithelial cell (ENCSR998KIZ),GSE219294,Homo sapiens,ENC4_507， ENC4_508 HMEC rep1 primary human mammary epithelial cellsFor data usage terms and conditions， please refer tohttp://www.genome.gov/27528022andhttp://www.genome.gov/Pages/Research/ENCODE/ENCODE_Data_Use_Policy_for_External_Users_03-07-14.pdf,https://www.encodeproject.org/ENCSR998KIZ/,22955616,Nature
Single-cell TCR transcriptomics of thymic iNKT cells from BALB/c and Cd80/Cd86 -/- (B7KO) mice,GSE198966,Mus musculus,Single-cell TCR-seq analysis of murine thymic iNKT cells from three independent BALB/c mice and three independent Cd80/Cd86 (B7)-deficient mice,Processed thymocytes were enriched for PBS57-CD1d reactive cells by incubating thymocyte cell suspensions with PE conjugated PBS57-CD1d tetramers for 45 minutes at 4C， then incubated with anti-PE Ab and magnetic microbeads (STEMCELL) for 15 and 10 minutes at RT， respectively， followed by separation by using an EasySep magnet (STEMCELL) according to manufacturerâs instructions. A 50:50 mix of CD44low and CD44high PBS57-CD1d tetramer+ cells were sorted using a BD FACS Aria. Single-cell RNA-seq was performed using 10X Genomics Chromium isingle-cell controller and 5' gene expression kit.,36450247,Cell Rep
Single-cell RNA transcriptomics of thymic iNKT cells from BALB/c and Cd80/Cd86 -/- (B7KO) mice,GSE198967,Mus musculus,Single-cell RNA-seq analysis of murine thymic iNKT cells from three independent BALB/c mice and three independent Cd80/Cd86 (B7)-deficient mice,Processed thymocytes were enriched for PBS57-CD1d reactive cells by incubating thymocyte cell suspensions with PE conjugated PBS57-CD1d tetramers for 45 minutes at 4C， then incubated with anti-PE Ab and magnetic microbeads (STEMCELL) for 15 and 10 minutes at RT， respectively， followed by separation by using an EasySep magnet (STEMCELL) according to manufacturerâs instructions. A 50:50 mix of CD44low and CD44high PBS57-CD1d tetramer+ cells were sorted using a BD FACS Aria. Single-cell RNA-seq was performed using 10X Genomics Chromium isingle-cell controller and 5' gene expression kit.,36450247,Cell Rep
Single-cell profiling of alveolar rhabdomyosarcoma reveals RAS pathway inhibitors as cell-fate hijackers with therapeutic relevance,GSE218974,Homo sapiens,Rhabdomyosarcoma (RMS) is an aggressive pediatric cancer. Despite robust expression of myogenic regulatory factors， RMS cells are blocked in a proliferative state and do not terminally differentiate. The extent to which the skeletal muscle lineage is represented in RMS tumors and the mechanisms leading to developmental arrest， remain elusive. Here， we used single-cell RNA sequencing (scRNAseq) to resolve RMS subpopulations under basal conditions as well as under genetic perturbation of the fusion protein PAX3:FOXO1 (P3F1).,Primary RMS cells were cultured for low number of passages and multiplexed according to Totalseq protocol for single-cell RNA sequencing analysis.,36753540,Sci Adv
Single-cell profiling of alveolar rhabdomyosarcoma reveals RAS pathway inhibitors as cell-fate hijackers with therapeutic relevance,GSE218974,Homo sapiens,Rhabdomyosarcoma (RMS) is an aggressive pediatric cancer. Despite robust expression of myogenic regulatory factors， RMS cells are blocked in a proliferative state and do not terminally differentiate. The extent to which the skeletal muscle lineage is represented in RMS tumors and the mechanisms leading to developmental arrest， remain elusive. Here， we used single-cell RNA sequencing (scRNAseq) to resolve RMS subpopulations under basal conditions as well as under genetic perturbation of the fusion protein PAX3:FOXO1 (P3F1).,Primary RMS cells were cultured for low number of passages and multiplexed according to Totalseq protocol for single-cell RNA sequencing analysis.,36753540,Nat Commun
Single-cell profiling of alveolar rhabdomyosarcoma reveals RAS pathway inhibitors as cell-fate hijackers with therapeutic relevance,GSE218974,Homo sapiens,Rhabdomyosarcoma (RMS) is an aggressive pediatric cancer. Despite robust expression of myogenic regulatory factors， RMS cells are blocked in a proliferative state and do not terminally differentiate. The extent to which the skeletal muscle lineage is represented in RMS tumors and the mechanisms leading to developmental arrest， remain elusive. Here， we used single-cell RNA sequencing (scRNAseq) to resolve RMS subpopulations under basal conditions as well as under genetic perturbation of the fusion protein PAX3:FOXO1 (P3F1).,Primary RMS cells were cultured for low number of passages and multiplexed according to Totalseq protocol for single-cell RNA sequencing analysis.,39060228,Sci Adv
Single-cell profiling of alveolar rhabdomyosarcoma reveals RAS pathway inhibitors as cell-fate hijackers with therapeutic relevance,GSE218974,Homo sapiens,Rhabdomyosarcoma (RMS) is an aggressive pediatric cancer. Despite robust expression of myogenic regulatory factors， RMS cells are blocked in a proliferative state and do not terminally differentiate. The extent to which the skeletal muscle lineage is represented in RMS tumors and the mechanisms leading to developmental arrest， remain elusive. Here， we used single-cell RNA sequencing (scRNAseq) to resolve RMS subpopulations under basal conditions as well as under genetic perturbation of the fusion protein PAX3:FOXO1 (P3F1).,Primary RMS cells were cultured for low number of passages and multiplexed according to Totalseq protocol for single-cell RNA sequencing analysis.,39060228,Nat Commun
Decay of heterochromatin domains at selective gene loci in aging mouse brain cells,GSE187332,Mus musculus,Aging is characterized by a progressive decline of organismal function and increase in vulnerability to diseases. Loss of heterochromatin during aging has been observed in a variety of organisms， however， understanding its role in aging-related phenotypes has been limited by the lack of information about the specific cell types and gene loci affected by this type of epigenetic changes. To address this bottleneck， we probed dynamic changes in chromatin landscape at single cell resolution in the forebrain， hippocampus， heart， skeletal muscle and bone marrows from 3-month， 10-month and 18-month-old mice， and characterized age-associated changes in chromatin accessibility at over 300，000 candidate regulatory elements across 34 major cell types. We report that excitatory neurons displayed profound changes in a specific set of heterochromatin domains during aging， evidenced by an increase in chromatin accessibility， a decrease in the heterochromatin marker H3K9me3， and de-repression of non-coding RNA species. These results suggest that heterochromatin maintenance are impaired in aging excitatory neurons， and this may be associated with increased repetitive element activity and neurodegenerative diseases.,We collected the dorsal hippocampus， frontal cortex， heart， leg muscles and bone marrow from male C57BL/6JN mice in three age groups， namely 3-month， 10-month， and 18-month， and performed single-nucleus ATAC-seq to profile  open chormatin changes during aging. We also performed single-nucleus RNA-seq and paired-tag for H3K9me3 on dorsal hippocampus and frontal cortex.,36207411,Cell Res
A complex regulatory landscape involved in the development of external genitals [4C-seq],GSE138507,Mus musculus,In vertebrates， developmental genes are often controlled by large regulatory landscapes matching the dimensions of topologically associating domains (TADs). In various ontogenic contexts， the associated constitutive chromatin backbone is modified by fine-tuned specific variations in enhancer-enhancer and enhancer-promoter interaction profiles. In this work， we use a TAD flanking the HoxD gene cluster as a paradigm to address the question of how these complex regulatory architectures are formed and how they are de-constructed once their function has been achieved. We suggest that this TAD can be considered as a coherent functional unit in itself， with several regulatory sequences acting together to elicit a transcriptional response. With one notable exception， the deletion of each of these sequences in isolation did not produce any substantial modification in the global transcriptional outcome of the system， a result at odds with a conventional view of long-range enhancer function. Likewise， both the deletion and inversion of a CTCF site located in a region rich in such sequences did not affect transcription of the target gene. In the latter case， however， slight modifications were observed in interaction profiles in vivo in agreement with the loop extrusion model， despite no apparent functional consequences. We discuss these unexpected results by considering both conventional explanations and an alternative possibility whereby a rather unspecific accumulation of particular factors within the TAD backbone may have a global impact upon transcription.,4C-seq analysis of 3D chromatin interactions in different wild type and mutant mouse embryonic tissues,32301703,Elife
Single cell RNA-seq of skeletal muscle from young and old mice,GSE172410,Mus musculus,We report the scRNA-seq of mononuclear cells isolated from skeletal muscle of young and old mice.,We isolated single cells from skeletal muscle of young (6 months， n=3) and old (24 months， n=3) mice and performed the scRNA-seq using 10X Genomics system.,36147777,Nat Aging
H3K18la marks active tissue-specific enhancers [RNA-Seq],GSE195859,Mus musculus,We profiled the genome-wide distribution of H3K18la in samples originating from 6 different in vitro and in vivo mouse samples， representing 3 tissues: embryonic stem cells， macrophages and skeletal muscle as well as in human skeletal muscle and compared them to the profiles of other well-established histone modifications as well as gene expression patterns. Globally， we found that H3K18la profiles resemble H3K27ac profiles better than any other investigated hPTM， including H3K4me3， but that they do not copy them. For all samples， H3K18la marked active CGI promoters of highly expressed genes which were remarkably shared across the different mouse tissues and which contained many housekeeping genes. Promoter H3K18la levels correlated positively to both H3K27ac and H3K4me3 levels as well as to gene expression levels. In addition， we found that H3K18la is enriched at tissue-type specific， active enhancers， which are particularly tissue-type-specific， especially when compared to the H3K18la-marked promoter regions. Accordingly， enhancer H3K18la levels correlate positively to the expression of their nearest genes. Additionally， genes closest to enhancers with high H3K18la levels predominantly consist of tissue-type specific marker genes. Overall， we showed that H3K18la is not only a marker for active promoters， but that it also marks active enhancers， and this both in embryonic tissues and differentiated tissues， and both in mouse and in human.,RNAseq on mouse myoblast and myotube samples was performed to correlate genome-wide H3K18la profile changes to gene expression changes during cell state transitions. RNAseq on mouse myoblasts treated with sodium-L-lactate was performed to investigate whether lactate can stimulate myogenic differentiation through histone lactylation,36192798,Genome Biol
Humanized V(D)J-rearranging and TdT-expressing Mouse Vaccine Models with Physiological HIV-1 Broadly Neutralizing Antibody Precursors,GSE214884,Homo sapiens;Mus musculus,"Antibody heavy chain (HC) and light chain (LC) variable region exons are assembled by V(D)J recombination. V(D)J junctional regions encode complementarity-determining-region 3 (CDR3)， an antigen-contact region immensely diversified through non-templated nucleotide additions (""N-regions"") by terminal deoxynucleotidyl transferase (TdT).  HIV-1 vaccine strategies seek to elicit human HIV-1 broadly neutralizing antibodies (bnAbs)， such as the potent CD4-binding site VRC01-class bnAbs.  Mice with primary B cells that express receptors (BCRs) representing bnAb precursors are used as vaccination models. VRC01-class bnAbs uniformly use human HC VH1-2 and commonly use human LCs Vk3-20 or Vk1-33 associated with an exceptionally short 5-amino-acid (5-aa) CDR3.  Prior VRC01-class models had non-physiological precursor levels and/or limited precursor diversity.  Here， we describe VRC01-class rearranging mice that generate more physiological primary VRC01-class BCR repertoires via rearrangement of VH1-2， as well as Vk1-33 and/or Vk3-20 in association with diverse CDR3s.  Human-like TdT expression in mouse precursor B cells increased LC CDR3 length and diversity and also promoted generation of shorter LC CDR3s via N-region suppression of dominant microhomology-mediated Vk-to-Jk joins.  Priming immunization with eOD-GT8 60mer， which strongly engages VRC01 precursors， induced robust VRC01-class germinal center (GC) B cell responses. Vk3-20-based responses were enhanced by N-region addition， which generates Vk3-20-to-Jk junctional sequence combinations that encode VRC01-class 5-aa CDR3s with a critical E residue. VRC01-class-rearranging models should facilitate further evaluation of VRC01-class prime and boost immunogens.  These new VRC01-class mouse models establish a prototype for generation of vaccine-testing mouse models for other HIV-1 bnAb lineages that employ different HC or LC Vs.",HTGTS-rep-seq and HTGTS-SHM-seq,36574685,Proc Natl Acad Sci U S A
CRISPR RNA-seq from HepG2 (ENCSR470SBK),GSE219298,Homo sapiens,RNA-seq on HepG2 cells treated with a CRISPR gRNA against CDK9. (CDK9-BGHcLV29)For data usage terms and conditions， please refer tohttp://www.genome.gov/27528022andhttp://www.genome.gov/Pages/Research/ENCODE/ENCODE_Data_Use_Policy_for_External_Users_03-07-14.pdf,https://www.encodeproject.org/ENCSR470SBK/,22955616,Nature
CRISPR RNA-seq from K562 (ENCSR002JOW),GSE219300,Homo sapiens,RNA-seq on K562 cells treated with a CRISPR gRNA against RNASEH2A. (RNASEH2A-BGKcLV30)For data usage terms and conditions， please refer tohttp://www.genome.gov/27528022andhttp://www.genome.gov/Pages/Research/ENCODE/ENCODE_Data_Use_Policy_for_External_Users_03-07-14.pdf,https://www.encodeproject.org/ENCSR002JOW/,22955616,Nature
